what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1506032722360
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506032722360
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1506032722360
java.specification.name,sysinfo,,,"Java Platform API Specification",1506032722360
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1506032722360
java.specification.version,sysinfo,,,"1.6",1506032722360
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1506032722360
java.version,sysinfo,,,"1.6.0_23",1506032722360
java.vm.info,sysinfo,,,"mixed mode",1506032722360
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506032722360
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506032722360
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1506032722360
java.vm.specification.version,sysinfo,,,"1.0",1506032722360
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1506032722360
java.vm.version,sysinfo,,,"19.0-b09",1506032722360
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1506032725323
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1506032727331
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506032736702
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506032739383
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506032740186
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506032740265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1506032785306
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506032854136
