what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1506403377063
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1506403377063
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1506403377064
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1506403377064
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1506403377064
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1506403377065
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1506403377065
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1506403377065
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1506403377066
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1506403377066
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1506403377067
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1506403377067
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506403377068
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1506403377068
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1506403377068
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1506403377069
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1506403377069
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1506403377070
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1506403377070
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1506403377070
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1506403377070
os,sysinfo,,,"win32",1506403377072
arch,sysinfo,,,"x86",1506403377072
ws,sysinfo,,,"win32",1506403377072
locale,sysinfo,,,"en_NZ",1506403377072
processors,sysinfo,,,"4",1506403377072
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506403377072
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1506403377072
java.specification.name,sysinfo,,,"Java Platform API Specification",1506403377072
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1506403377072
java.specification.version,sysinfo,,,"1.6",1506403377072
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1506403377072
java.version,sysinfo,,,"1.6.0_23",1506403377072
java.vm.info,sysinfo,,,"mixed mode",1506403377072
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506403377072
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506403377072
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1506403377072
java.vm.specification.version,sysinfo,,,"1.0",1506403377072
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1506403377072
java.vm.version,sysinfo,,,"19.0-b09",1506403377072
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1506403386833
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1506403386964
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1506403386978
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1506403386980
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506403387039
