what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410673105
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1506410716176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410724058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410782520
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1506410782626
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1506410783842
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1506410783842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410783872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410785207
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506410785586
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1506410795359
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1506410795369
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506410796155
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1506410800844
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1506410800845
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1506410800845
error,log,,,"Unable to validate connection settings.",1506410809438
error,log,,,"Unable to validate connection settings.",1506410809448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410809478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410811506
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1506410815376
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1506410819951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410820092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410838725
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1506410838735
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506410847598
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1506410847868
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1506410847908
error,log,,,"ELF file not specified for download for pacemaker Nios II Hardware configuration",1506410849698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506410849758
